wage_id,footnote_id,column_reference
2309,60,DEFINITION
2310,61,DEFINITION
2312,62,cashwage
2313,63,cashwage
2314,64,jurisdiction
2314,55,DEFINITION
2315,65,tipcredit
2315,66,DEFINITION
2316,65,tipcredit
2316,66,DEFINITION
2317,65,tipcredit
2317,66,DEFINITION
2318,55,DEFINITION
2319,55,DEFINITION
2320,55,DEFINITION
2321,68,DEFINITION
2322,109,tipcredit
2322,70,DEFINITION
2323,72,tipcredit
2324,72,tipcredit
2325,74,tipcredit
2326,74,tipcredit
2329,55,DEFINITION
2330,55,DEFINITION
2331,55,DEFINITION
2332,76,tipcredit
2332,66,DEFINITION
2333,76,tipcredit
2333,66,DEFINITION
2334,76,tipcredit
2334,66,DEFINITION
2335,77,DEFINITION
2336,77,DEFINITION
2337,77,DEFINITION
2338,78,tipcredit
2338,55,DEFINITION
2339,78,tipcredit
2339,55,DEFINITION
2340,78,tipcredit
2340,55,DEFINITION
2341,110,combinedrate
2341,111,tipcredit
2341,112,DEFINITION
2342,110,combinedrate
2342,111,tipcredit
2342,112,DEFINITION
2343,66,DEFINITION
2344,66,DEFINITION
2345,66,DEFINITION
2346,80,tipcredit
2346,55,DEFINITION
2347,80,tipcredit
2347,55,DEFINITION
2348,80,tipcredit
2348,55,DEFINITION
2349,80,tipcredit
2349,77,DEFINITION
2350,80,tipcredit
2350,77,DEFINITION
2351,80,tipcredit
2351,77,DEFINITION
2352,55,DEFINITION
2353,55,DEFINITION
2354,55,DEFINITION
2355,65,tipcredit
2355,77,DEFINITION
2356,65,tipcredit
2356,77,DEFINITION
2357,65,tipcredit
2357,77,DEFINITION
2358,55,DEFINITION
2359,55,DEFINITION
2360,55,DEFINITION
2361,55,DEFINITION
2362,55,DEFINITION
2363,55,DEFINITION
2364,66,DEFINITION
2365,66,DEFINITION
2366,66,DEFINITION
2367,81,tipcredit
2367,66,DEFINITION
2368,81,tipcredit
2368,66,DEFINITION
2369,66,DEFINITION
2370,66,DEFINITION
2371,66,DEFINITION
2372,65,tipcredit
2372,77,DEFINITION
2373,65,tipcredit
2373,77,DEFINITION
2374,65,tipcredit
2374,77,DEFINITION
2375,66,DEFINITION
2376,82,tipcredit
2376,80,tipcredit
2377,82,tipcredit
2377,80,tipcredit
2378,82,tipcredit
2378,84,tipcredit
2379,82,tipcredit
2379,84,tipcredit
2380,82,tipcredit
2380,85,tipcredit
2381,82,tipcredit
2381,85,tipcredit
2382,82,tipcredit
2382,86,tipcredit
2383,82,tipcredit
2383,86,tipcredit
2384,82,tipcredit
2384,87,tipcredit
2385,82,tipcredit
2385,87,tipcredit
2386,66,DEFINITION
2387,88,tipcredit
2387,89,DEFINITION
2388,90,DEFINITION
2389,90,DEFINITION
2390,91,DEFINITION
2391,91,DEFINITION
2392,92,DEFINITION
2393,92,DEFINITION
2394,90,DEFINITION
2395,90,DEFINITION
2396,93,DEFINITION
2397,93,DEFINITION
2398,94,DEFINITION
2399,94,DEFINITION
2400,95,DEFINITION
2401,95,DEFINITION
2402,96,DEFINITION
2403,96,DEFINITION
2404,94,DEFINITION
2405,94,DEFINITION
2406,97,DEFINITION
2407,97,DEFINITION
2408,98,DEFINITION
2409,98,DEFINITION
2410,99,jurisdiction
2410,77,DEFINITION
2411,99,jurisdiction
2411,77,DEFINITION
2412,99,jurisdiction
2412,77,DEFINITION
2413,100,tipcredit
